Reports,No Finding,Enlarged Cardiomediastinum,Cardiomegaly,Lung Lesion,Lung Opacity,Edema,Consolidation,Pneumonia,Atelectasis,Pneumothorax,Pleural Effusion,Pleural Other,Fracture,Support Devices
as compared to the previous radiograph there is no relevant change,1.0,,,,,,,,,,,,,
no evidence of focal parenchymal opacities indicative of pneumonia,,,,,0.0,,,1.0,,,,,,
the orogastric tube has been removed,1.0,,,,,,,,,,,,,0.0
unchanged borderline size of the cardiac silhouette without pulmonary edema,,,1.0,,,0.0,,,,,,,,
the lateral radiograph reveals a minimal pleural effusion bilaterally restricted to the dorsal parts of the costophrenic sinus  .,,,,,,,,,,,1.0,,,
the cardiomediastinal contours are within normal limits and without change,1.0,0.0,,,,,,,,,,,,
interval decrease in size of right pleural effusion with residual small effusion remaining,,,,,,,,,,,1.0,,,
adjacent atelectasis in the right mid and lower lung has improved with residual linear atelectasis remaining,,,,,,,,,1.0,,,,,
minimal linear atelectasis is also present in the left lower lobe,,,,,,,,,1.0,,,,,
no focal areas of consolidation are identified to suggest the presence of pneumonia  .,,,,,,,0.0,1.0,,,,,,
heart size is normal,1.0,,0.0,,,,,,,,,,,
the mediastinal and hilar contours are unchanged,,-1.0,,,,,,,,,,,,
dense atherosclerotic calcifications are noted at the aortic knob,,,,,,,,,,,,,,
atelectasis is noted in the lung bases without focal consolidation,,,,,,,0.0,,1.0,,,,,
mild elevation of the right hemidiaphragm is chronic with lateralization of the diaphragmatic apex likely attributable to the presence of a small subpulmonic effusion,,,,,,,,,,,1.0,,,
no pneumothorax is present,1.0,,,,,,,,,0.0,,,,
there is no pulmonary vascular congestion,1.0,,,,,0.0,,,,,,,,
diffuse gaseous distention of bowel loops are seen in the upper abdomen,1.0,,,,,,,,,,,,,
posterior fixation hardware is noted within the thoracic spine with re- demonstration of diffuse osteopenia and multiple compression deformities  .,,,,,,,,,,,,,,1.0
heart size is normal,1.0,,0.0,,,,,,,,,,,
the mediastinal and hilar contours are unchanged,,-1.0,,,,,,,,,,,,
dense atherosclerotic calcifications are noted at the aortic knob,,,,,,,,,,,,,,
atelectasis is noted in the lung bases without focal consolidation,,,,,,,0.0,,1.0,,,,,
mild elevation of the right hemidiaphragm is chronic with lateralization of the diaphragmatic apex likely attributable to the presence of a small subpulmonic effusion,,,,,,,,,,,1.0,,,
no pneumothorax is present,1.0,,,,,,,,,0.0,,,,
there is no pulmonary vascular congestion,1.0,,,,,0.0,,,,,,,,
diffuse gaseous distention of bowel loops are seen in the upper abdomen,1.0,,,,,,,,,,,,,
posterior fixation hardware is noted within the thoracic spine with re- demonstration of diffuse osteopenia and multiple compression deformities  .,,,,,,,,,,,,,,1.0
heart size is normal,1.0,,0.0,,,,,,,,,,,
the mediastinal and hilar contours are unchanged,,-1.0,,,,,,,,,,,,
dense atherosclerotic calcifications are noted at the aortic knob,,,,,,,,,,,,,,
atelectasis is noted in the lung bases without focal consolidation,,,,,,,0.0,,1.0,,,,,
mild elevation of the right hemidiaphragm is chronic with lateralization of the diaphragmatic apex likely attributable to the presence of a small subpulmonic effusion,,,,,,,,,,,1.0,,,
no pneumothorax is present,1.0,,,,,,,,,0.0,,,,
there is no pulmonary vascular congestion,1.0,,,,,0.0,,,,,,,,
diffuse gaseous distention of bowel loops are seen in the upper abdomen,1.0,,,,,,,,,,,,,
posterior fixation hardware is noted within the thoracic spine with re- demonstration of diffuse osteopenia and multiple compression deformities  .,,,,,,,,,,,,,,1.0
ap and lateral views of the chest,1.0,,,,,,,,,,,,,
posterior fixation hardware in the thoracic spine is several years old,1.0,,,,,,,,,,,,,1.0
elevation of the right lung base has been increasing slowly over the past years,,,,,,,,,,,,,,
small right pleural effusion is comparable to slightly larger than on,,,,,,,,,,,1.0,,,
left subclavian line ends in the distal svc,1.0,,,,,,,,,,,,,1.0
heart size is normal,1.0,,0.0,,,,,,,,,,,
cardiomediastinal and hilar contours are normal,1.0,0.0,,,,,,,,,,,,
right basilar linear atelectasis is unchanged,,,,,,,,,1.0,,,,,
no consolidation or pulmonary edema is present  .,1.0,,,,,0.0,0.0,,,,,,,
ap and lateral views of the chest,1.0,,,,,,,,,,,,,
posterior fixation hardware in the thoracic spine is several years old,1.0,,,,,,,,,,,,,1.0
elevation of the right lung base has been increasing slowly over the past years,,,,,,,,,,,,,,
small right pleural effusion is comparable to slightly larger than on,,,,,,,,,,,1.0,,,
left subclavian line ends in the distal svc,1.0,,,,,,,,,,,,,1.0
heart size is normal,1.0,,0.0,,,,,,,,,,,
cardiomediastinal and hilar contours are normal,1.0,0.0,,,,,,,,,,,,
right basilar linear atelectasis is unchanged,,,,,,,,,1.0,,,,,
no consolidation or pulmonary edema is present  .,1.0,,,,,0.0,0.0,,,,,,,
ap and lateral views of the chest,1.0,,,,,,,,,,,,,
posterior fixation hardware in the thoracic spine is several years old,1.0,,,,,,,,,,,,,1.0
elevation of the right lung base has been increasing slowly over the past years,,,,,,,,,,,,,,
small right pleural effusion is comparable to slightly larger than on,,,,,,,,,,,1.0,,,
left subclavian line ends in the distal svc,1.0,,,,,,,,,,,,,1.0
heart size is normal,1.0,,0.0,,,,,,,,,,,
cardiomediastinal and hilar contours are normal,1.0,0.0,,,,,,,,,,,,
right basilar linear atelectasis is unchanged,,,,,,,,,1.0,,,,,
no consolidation or pulmonary edema is present  .,1.0,,,,,0.0,0.0,,,,,,,
as compared to the previous radiograph there is no relevant change,1.0,,,,,,,,,,,,,
status post spinal stabilization left subclavian access line,1.0,,,,,,,,,,,,,
borderline size of the cardiac silhouette elevation of the right hemidiaphragm with subsequent areas of atelectasis seen on both the frontal and the lateral radiograph,,,1.0,,,,,,1.0,,,,,
no newly appeared parenchymal opacities,,,,,1.0,,,,,,,,,
no larger pleural effusions  .,1.0,,,,,,,,,,0.0,,,
as compared to the previous radiograph there is no relevant change,1.0,,,,,,,,,,,,,
status post spinal stabilization left subclavian access line,1.0,,,,,,,,,,,,,
borderline size of the cardiac silhouette elevation of the right hemidiaphragm with subsequent areas of atelectasis seen on both the frontal and the lateral radiograph,,,1.0,,,,,,1.0,,,,,
no newly appeared parenchymal opacities,,,,,1.0,,,,,,,,,
no larger pleural effusions  .,1.0,,,,,,,,,,0.0,,,
ap and lateral views of the chest provided,1.0,,,,,,,,,,,,,
there is no focal consolidation or pneumothorax,1.0,,,,,,0.0,,,0.0,,,,
trace right pleural effusion and bibasilar atelectasis are again seen,,,,,,,,,1.0,,1.0,,,
the cardiomediastinal silhouette is normal,1.0,0.0,,,,,,,,,,,,
no free air below the right hemidiaphragm is seen,1.0,,,,,,,,,,,,,
elevation of the right hemidiaphragm and aortic knob calcification are not significantly changed,,,,,,,,,,,,,,
diffuse osteopenia spinal fusion hardware and multiple compression deformities are re- demonstrated  .,,,,,,,,,,,,,,1.0
ap and lateral views of the chest provided,1.0,,,,,,,,,,,,,
there is no focal consolidation or pneumothorax,1.0,,,,,,0.0,,,0.0,,,,
trace right pleural effusion and bibasilar atelectasis are again seen,,,,,,,,,1.0,,1.0,,,
the cardiomediastinal silhouette is normal,1.0,0.0,,,,,,,,,,,,
no free air below the right hemidiaphragm is seen,1.0,,,,,,,,,,,,,
elevation of the right hemidiaphragm and aortic knob calcification are not significantly changed,,,,,,,,,,,,,,
diffuse osteopenia spinal fusion hardware and multiple compression deformities are re- demonstrated  .,,,,,,,,,,,,,,1.0
ap and lateral views of the chest provided,1.0,,,,,,,,,,,,,
there is no focal consolidation or pneumothorax,1.0,,,,,,0.0,,,0.0,,,,
trace right pleural effusion and bibasilar atelectasis are again seen,,,,,,,,,1.0,,1.0,,,
the cardiomediastinal silhouette is normal,1.0,0.0,,,,,,,,,,,,
no free air below the right hemidiaphragm is seen,1.0,,,,,,,,,,,,,
elevation of the right hemidiaphragm and aortic knob calcification are not significantly changed,,,,,,,,,,,,,,
diffuse osteopenia spinal fusion hardware and multiple compression deformities are re- demonstrated  .,,,,,,,,,,,,,,1.0
ap and lateral views of the chest provided,1.0,,,,,,,,,,,,,
there is no focal consolidation or pneumothorax,1.0,,,,,,0.0,,,0.0,,,,
trace right pleural effusion and bibasilar atelectasis are again seen,,,,,,,,,1.0,,1.0,,,
the cardiomediastinal silhouette is normal,1.0,0.0,,,,,,,,,,,,
no free air below the right hemidiaphragm is seen,1.0,,,,,,,,,,,,,
elevation of the right hemidiaphragm and aortic knob calcification are not significantly changed,,,,,,,,,,,,,,
diffuse osteopenia spinal fusion hardware and multiple compression deformities are re- demonstrated  .,,,,,,,,,,,,,,1.0
two portable upright view of the chest are compared to previous exam from,1.0,,,,,,,,,,,,,
there is new right lung base opacity compatible with at least some component of pleural effusion with probable underlying airspace disease,,,,,1.0,,,,,,1.0,,,
the left lung remains essentially clear noting mild scarring versus atelectasis at the lung base,,,,,-1.0,,,,-1.0,,,,,
left subclavian central line is seen with tip at the cavoatrial junction,1.0,,,,,,,,,,,,,1.0
cardiomediastinal silhouette is stable,,-1.0,,,,,,,,,,,,
posterior spinal fixation hardware is partially visualized  .,1.0,,,,,,,,,,,,,1.0
two portable upright view of the chest are compared to previous exam from,1.0,,,,,,,,,,,,,
there is new right lung base opacity compatible with at least some component of pleural effusion with probable underlying airspace disease,,,,,1.0,,,,,,1.0,,,
the left lung remains essentially clear noting mild scarring versus atelectasis at the lung base,,,,,-1.0,,,,-1.0,,,,,
left subclavian central line is seen with tip at the cavoatrial junction,1.0,,,,,,,,,,,,,1.0
cardiomediastinal silhouette is stable,,-1.0,,,,,,,,,,,,
posterior spinal fixation hardware is partially visualized  .,1.0,,,,,,,,,,,,,1.0
a left subclavian central venous catheter tip terminates in the svc,1.0,,,,,,,,,,,,,1.0
cardiac mediastinal and hilar contours are within normal limits with mild aortic arch calcifications,1.0,0.0,,,,,,,,,,,,
subsegmental atelectasis is most pronounced in the lung bases,,,,,,,,,1.0,,,,,
hazy focal opacity is noted at the confluence of the left first anterior rib with the left fifth posterior rib which appears unchanged and no discrete nodular opacity was seen on the prior cta of the chest from,,,,0.0,1.0,,,,,,,,,
no pleural effusion or pneumothorax is seen,1.0,,,,,,,,,0.0,0.0,,,
there is diffuse demineralization of the osseous structures with unchanged posterior fusion hardware in the thoracic spine spanning two adjacent compression deformities  .,1.0,,,,,,,,,,,,,1.0
a left subclavian central venous catheter tip terminates in the svc,1.0,,,,,,,,,,,,,1.0
cardiac mediastinal and hilar contours are within normal limits with mild aortic arch calcifications,1.0,0.0,,,,,,,,,,,,
subsegmental atelectasis is most pronounced in the lung bases,,,,,,,,,1.0,,,,,
hazy focal opacity is noted at the confluence of the left first anterior rib with the left fifth posterior rib which appears unchanged and no discrete nodular opacity was seen on the prior cta of the chest from,,,,0.0,1.0,,,,,,,,,
no pleural effusion or pneumothorax is seen,1.0,,,,,,,,,0.0,0.0,,,
there is diffuse demineralization of the osseous structures with unchanged posterior fusion hardware in the thoracic spine spanning two adjacent compression deformities  .,1.0,,,,,,,,,,,,,1.0
again seen are posterior fixation hardware in the thoracic spine unchanged in position,1.0,,,,,,,,,,,,,1.0
elevation of the right diaphragm appear unchanged since,,,,,,,,,,,,,,
minimal right pleural effusion is seen,,,,,,,,,,,1.0,,,
the lungs are clear,1.0,,,,,,,,,,,,,
there is no evidence for pulmonary edema or focal pneumonia,1.0,,,,,0.0,,0.0,,,,,,
the heart size is normal,1.0,,0.0,,,,,,,,,,,
the mediastinum and hilar contours are unchanged and normal  .,1.0,0.0,,,,,,,,,,,,
again seen are posterior fixation hardware in the thoracic spine unchanged in position,1.0,,,,,,,,,,,,,1.0
elevation of the right diaphragm appear unchanged since,,,,,,,,,,,,,,
minimal right pleural effusion is seen,,,,,,,,,,,1.0,,,
the lungs are clear,1.0,,,,,,,,,,,,,
there is no evidence for pulmonary edema or focal pneumonia,1.0,,,,,0.0,,0.0,,,,,,
the heart size is normal,1.0,,0.0,,,,,,,,,,,
the mediastinum and hilar contours are unchanged and normal  .,1.0,0.0,,,,,,,,,,,,
the lungs are clear of focal consolidation pleural effusion or pneumothorax,,,,,,,1.0,,,-1.0,-1.0,,,
there is no pulmonary edema,1.0,,,,,0.0,,,,,,,,
lucency of the upper lobes may reflect emphysema,,,,,,,,,,,,,,
the heart is normal in size,1.0,,0.0,,,,,,,,,,,
posterior spinal fixation hardware is noted along the lower thoracic spine with re- demonstration of multiple compression deformities  .,1.0,,,,,,,,,,,,,1.0
the lungs are clear of focal consolidation pleural effusion or pneumothorax,,,,,,,1.0,,,-1.0,-1.0,,,
there is no pulmonary edema,1.0,,,,,0.0,,,,,,,,
lucency of the upper lobes may reflect emphysema,,,,,,,,,,,,,,
the heart is normal in size,1.0,,0.0,,,,,,,,,,,
posterior spinal fixation hardware is noted along the lower thoracic spine with re- demonstration of multiple compression deformities  .,1.0,,,,,,,,,,,,,1.0
left-sided central venous line is again seen similar in position terminating in the low svc,1.0,,,,,,,,,,,,,1.0
again seen is elevation of the right hemidiaphragm and blunting of the right costophrenic angle which could be due to a trace right pleural effusion,,,,,,,,,,,-1.0,,,
there is overlying right basilar atelectasis,,,,,,,,,1.0,,,,,
minor left basilar atelectasis is also seen,,,,,,,,,1.0,,,,,
no new focal consolidation is seen,,,,,,,-1.0,,,,,,,
the cardiac and mediastinal silhouettes are stable,,-1.0,,,,,,,,,,,,
the aortic knob is calcified,,,,,,,,,,,,,,
spinal surgical hardware is noted  .,1.0,,,,,,,,,,,,,1.0
a left central venous catheter is seen terminating in the lower svc,1.0,,,,,,,,,,,,,1.0
again seen is elevation of the right hemidiaphragm and small pleural effusion and atelectasis at the base of the right lung,,,,,,,,,1.0,,1.0,,,
the cardiomediastinal silhouette and hilar contours are grossly unchanged,,1.0,,,,,,,,,,,,
there is no evidence of pneumothorax,1.0,,,,,,,,,0.0,,,,
thoracolumbar fusion hardware is seen unchanged in appearance  .,1.0,,,,,,,,,,,,,1.0
a left central venous catheter is seen terminating in the lower svc,1.0,,,,,,,,,,,,,1.0
again seen is elevation of the right hemidiaphragm and small pleural effusion and atelectasis at the base of the right lung,,,,,,,,,1.0,,1.0,,,
the cardiomediastinal silhouette and hilar contours are grossly unchanged,,1.0,,,,,,,,,,,,
there is no evidence of pneumothorax,1.0,,,,,,,,,0.0,,,,
thoracolumbar fusion hardware is seen unchanged in appearance  .,1.0,,,,,,,,,,,,,1.0
there is a decreased though persistent right-sided hydropneumothorax with interval incomplete reexpansion of the right lung,,,,,,,,,,1.0,,,,
no significant mediastinal shift identified with unremarkable mediastinal hilar and cardiac contours,1.0,0.0,0.0,,,,,,,,,,,
right lower lung opacifications may reflect combination of reexpansion edema and atelectasis,,,,,1.0,1.0,,,1.0,,,,,
minimal left lung atelectasis noted  .,,,,,,,,,1.0,,,,,
there is a decreased though persistent right-sided hydropneumothorax with interval incomplete reexpansion of the right lung,,,,,,,,,,1.0,,,,
no significant mediastinal shift identified with unremarkable mediastinal hilar and cardiac contours,1.0,0.0,0.0,,,,,,,,,,,
right lower lung opacifications may reflect combination of reexpansion edema and atelectasis,,,,,1.0,1.0,,,1.0,,,,,
minimal left lung atelectasis noted  .,,,,,,,,,1.0,,,,,
comparison is made to prior study from,1.0,,,,,,,,,,,,,
there is a very large hydropneumothorax on the right side,,,,,,,,,,1.0,,,,
there is compression of the lung parenchyma,1.0,,,,,,,,,,,,,
there is also some mediastinal shift to the left side,1.0,,,,,,,,,,,,,
the left lung appears well aerated without focal consolidation pleural effusions or pneumothoraces,,,,,,,1.0,,,0.0,0.0,,,
the right base has increased in the size with pleural effusion however this may be secondary to patient positioning,,,,,,,,,,,1.0,,,
